Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time
ALDS Game 1,"Saturday, Oct 5",NYY,H,KCR,W,6,5,NA,1-0,Holmes,Lorenzen,Weaver,3:21,N,"48,790"
ALDS Game 2,"Monday, Oct 7",NYY,H,KCR,L,2,4,NA,1-1,Zerpa,Rodón,Erceg,3:07,N,"48,034"
ALDS Game 3,"Wednesday, Oct 9",NYY,A,KCR,W,3,2,NA,2-1,Kahnle,Bubic,Weaver,3:06,N,"40,312"
ALDS Game 4,"Thursday, Oct 10",NYY,A,KCR,W,3,1,NA,3-1,Cole,Wacha,Weaver,2:36,N,"39,012"
ALCS Game 1,"Monday, Oct 14",NYY,H,CLE,W,5,2,NA,4-1,Rodón,Cobb,Weaver,3:01,N,"47,264"
ALCS Game 2,"Tuesday, Oct 15",NYY,H,CLE,W,6,3,NA,5-1,Holmes,Bibee,,3:26,N,"47,054"
ALCS Game 3,"Thursday, Oct 17",NYY,A,CLE,L,5,7,10,5-2,Avila,Holmes,,3:52,N,"32,531"
ALCS Game 4,"Friday, Oct 18",NYY,A,CLE,W,8,6,NA,6-2,Leiter,Clase,Kahnle,3:27,N,"35,263"
ALCS Game 5,"Saturday, Oct 19",NYY,A,CLE,W,5,2,10,7-2,Weaver,Gaddis,,3:36,N,"32,545"
WS Game 1,"Friday, Oct 25",NYY,A,LAD,L,3,6,10,7-3,Treinen,Cousins,,3:27,N,"52,394"
WS Game 2,"Saturday, Oct 26",NYY,A,LAD,L,2,4,NA,7-4,Yamamoto,Rodón,Vesia,2:53,N,"52,725"
WS Game 3,"Monday, Oct 28",NYY,H,LAD,L,2,4,NA,7-5,Buehler,Schmidt,,3:25,N,"49,368"
WS Game 4,"Tuesday, Oct 29",NYY,H,LAD,W,11,4,NA,8-5,Holmes,Hudson,,3:16,N,"49,354"
WS Game 5,"Wednesday, Oct 30",NYY,H,LAD,L,6,7,NA,8-6,Treinen,Kahnle,Buehler,3:42,N,"49,263"
