game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,fast_break_points,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,largest_lead,lead_changes,lead_percentage,offensive_rebounds,points_in_paint,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnover_points,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score
401856571,2026,3,2026-03-27,2026-03-28T01:55:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,away,63,FALSE,13,3,26,5,40,23,58,0,15,72,13,18,2,7,6,13,34,6,1,0,25,4,16,39,0,10,8,10,41,s:40~l:41~t:41,uconn-huskies,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,a2aaad,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,67
401856531,2026,3,2026-03-21,2026-03-21T18:45:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,77,TRUE,22,5,28,10,47,26,55,0,11,74,14,19,13,3,90,11,24,4,1,0,42,11,26,39,0,15,7,15,97,s:40~l:41~t:97,louisville-cardinals,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,69
401856483,2026,3,2026-03-19,2026-03-19T20:27:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,92,TRUE,26,6,31,15,59,33,56,0,14,89,16,18,28,3,92,4,44,5,0,0,50,10,20,35,0,12,12,12,2449,s:40~l:41~t:2449,north-dakota-state-bison,North Dakota State,Bison,NDSU,North Dakota State Bison,N Dakota St,01402A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,67
401851383,2026,2,2026-03-13,2026-03-14T01:00:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,84,FALSE,24,2,18,10,45,28,62,0,17,77,17,22,4,2,7,16,30,3,0,0,48,11,23,34,0,12,7,12,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,88
401825568,2026,2,2026-03-08,2026-03-08T20:30:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,away,80,FALSE,16,3,22,11,45,29,65,0,22,80,16,20,5,5,19,10,40,5,0,2,33,6,18,32,2,7,8,7,130,s:40~l:41~t:130,michigan-wolverines,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,90
401825561,2026,2,2026-03-05,2026-03-06T01:00:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,91,TRUE,19,7,26,24,58,31,53,0,15,83,25,30,19,6,63,12,46,4,0,1,33,4,12,38,1,15,9,15,164,s:40~l:41~t:164,rutgers-scarlet-knights,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,ce0e2d,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,87
401825550,2026,2,2026-03-01,2026-03-01T20:45:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,away,77,TRUE,15,3,25,7,49,25,51,0,14,79,15,19,13,0,99,10,20,2,0,0,50,12,24,35,0,9,10,9,84,s:40~l:41~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,970310,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,64
401825543,2026,2,2026-02-26,2026-02-27T01:00:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,away,76,TRUE,15,1,19,10,53,29,55,0,13,75,12,16,8,12,47,6,40,6,2,0,32,6,19,25,0,6,19,6,2509,s:40~l:41~t:2509,purdue-boilermakers,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,ceb888,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,74
401825534,2026,2,2026-02-22,2026-02-22T18:00:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,66,TRUE,18,2,28,9,40,22,55,0,17,72,18,25,10,4,47,15,26,2,1,1,27,4,15,43,1,9,4,9,194,s:40~l:41~t:194,ohio-state-buckeyes,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ba0c2f,a8adb4,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,60
401825521,2026,2,2026-02-17,2026-02-18T01:30:00Z,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,home,82,TRUE,21,5,29,10,53,29,55,0,19,91,10,11,31,5,90,8,20,5,1,1,52,14,27,37,1,14,13,14,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,59
