game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,fast_break_points,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,largest_lead,lead_changes,lead_percentage,offensive_rebounds,points_in_paint,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnover_points,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score
401856559,2026,3,2026-03-22,2026-03-23T01:10:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,57,FALSE,14,1,16,8,39,19,49,0,17,67,14,21,6,5,36,8,20,4,0,0,38,5,13,24,0,11,14,11,41,s:40~l:41~t:41,uconn-huskies,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,a2aaad,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,73
401856496,2026,3,2026-03-20,2026-03-20T23:31:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,75,TRUE,11,9,26,21,40,27,68,0,15,72,13,18,14,1,86,15,28,13,4,0,29,6,21,41,0,8,19,8,2116,s:40~l:41~t:2116,ucf-knights,UCF,Knights,UCF,UCF Knights,UCF,000000,b4a169,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,71
401851386,2026,2,2026-03-14,2026-03-14T19:30:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,66,FALSE,18,1,17,4,44,25,57,0,15,82,9,11,2,1,2,9,26,8,0,0,35,7,20,26,0,6,13,6,2509,s:40~l:41~t:2509,purdue-boilermakers,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,ceb888,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,73
401851383,2026,2,2026-03-13,2026-03-14T01:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,88,TRUE,20,3,20,10,56,30,54,1,21,79,15,19,15,2,83,6,24,12,0,0,48,13,27,26,0,8,10,8,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,84
401851378,2026,2,2026-03-12,2026-03-13T01:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,72,TRUE,18,4,28,6,38,23,60,0,14,83,19,23,15,3,91,12,24,7,1,0,30,7,23,40,0,10,12,10,164,s:40~l:41~t:164,rutgers-scarlet-knights,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,ce0e2d,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,59
401825566,2026,2,2026-03-07,2026-03-08T02:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,89,TRUE,19,1,26,10,58,34,59,3,15,67,12,18,25,1,81,11,34,4,1,0,53,9,17,37,0,6,9,6,30,s:40~l:41~t:30,usc-trojans,USC,Trojans,USC,USC Trojans,USC,9d2235,ffc72c,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,68
401825554,2026,2,2026-03-03,2026-03-04T04:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,72,TRUE,17,1,25,5,47,28,60,0,18,60,6,10,21,0,99,11,26,8,1,0,34,10,29,36,0,8,10,8,158,s:40~l:41~t:158,nebraska-cornhuskers,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,e31937,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,52
401825545,2026,2,2026-02-28,2026-02-28T19:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,73,FALSE,27,0,20,5,51,29,57,0,12,83,5,6,8,8,37,10,24,3,1,0,42,10,24,30,0,6,6,6,135,s:40~l:41~t:135,minnesota-golden-gophers,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,5e0a2f,fab41c,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,78
401825539,2026,2,2026-02-24,2026-02-25T04:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,81,TRUE,18,4,23,8,49,31,63,0,16,86,12,14,21,5,71,8,32,8,1,0,35,7,20,31,0,5,15,5,30,s:40~l:41~t:30,usc-trojans,USC,Trojans,USC,USC Trojans,USC,9d2235,ffc72c,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,62
401825532,2026,2,2026-02-21,2026-02-22T01:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,95,TRUE,21,1,19,9,51,34,67,1,21,84,16,19,5,13,28,8,38,5,0,0,39,11,28,27,0,5,8,5,356,s:40~l:41~t:356,illinois-fighting-illini,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,ff5f05,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,94
401825521,2026,2,2026-02-17,2026-02-18T01:30:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,59,FALSE,11,4,18,2,37,21,57,1,18,75,9,12,4,5,8,9,20,6,2,1,32,8,25,27,1,11,17,11,127,s:40~l:41~t:127,michigan-state-spartans,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,173f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,82
401825514,2026,2,2026-02-14,2026-02-14T17:45:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,56,FALSE,7,1,16,4,38,22,58,0,22,50,6,12,0,0,0,13,30,5,1,1,29,6,21,29,1,13,7,13,130,s:40~l:41~t:130,michigan-wolverines,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,86
401825500,2026,2,2026-02-07,2026-02-08T03:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,77,TRUE,11,0,18,15,41,23,56,0,17,79,23,29,9,3,38,12,18,7,0,0,44,8,18,30,0,7,20,7,264,s:40~l:41~t:264,washington-huskies,Washington,Huskies,WASH,Washington Huskies,Washington,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,73
401825490,2026,2,2026-02-03,2026-02-04T02:30:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,98,TRUE,25,2,25,3,56,35,63,0,16,89,16,18,36,1,92,10,32,3,0,0,57,12,21,35,0,2,17,2,164,s:40~l:41~t:164,rutgers-scarlet-knights,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,ce0e2d,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,66
401825483,2026,2,2026-01-31,2026-01-31T22:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,97,FALSE,19,4,34,13,39,30,76,0,27,88,30,34,9,15,53,12,38,6,0,0,32,7,22,46,0,10,9,10,84,s:40~l:41~t:84,indiana-hoosiers,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,970310,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,98
401825477,2026,2,2026-01-28,2026-01-29T04:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,73,TRUE,10,4,28,10,40,23,58,0,13,87,20,23,20,1,94,12,30,4,0,0,39,7,18,40,0,4,11,4,2483,s:40~l:41~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Oregon,00934b,fff41b,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,57
401825469,2026,2,2026-01-24,2026-01-24T23:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,71,TRUE,11,1,26,9,49,26,53,0,13,52,11,21,16,4,90,8,30,7,1,0,44,8,18,34,0,10,8,10,77,s:40~l:41~t:77,northwestern-wildcats,Northwestern,Wildcats,NU,Northwestern Wildcats,Northwestern,492f92,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,64
401825459,2026,2,2026-01-20,2026-01-21T03:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,69,TRUE,21,8,20,11,57,29,51,0,10,67,2,3,5,7,24,4,30,3,0,0,45,9,20,24,0,10,13,10,2509,s:40~l:41~t:2509,purdue-boilermakers,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,ceb888,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,67
401825449,2026,2,2026-01-17,2026-01-17T18:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,74,FALSE,14,4,13,2,40,25,62,0,20,79,15,19,0,0,0,14,16,6,1,0,39,9,23,27,0,5,12,5,194,s:40~l:41~t:194,ohio-state-buckeyes,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ba0c2f,a8adb4,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,86
401825443,2026,2,2026-01-14,2026-01-15T01:30:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,71,TRUE,14,2,21,2,43,20,47,0,15,100,21,21,13,7,72,11,16,4,2,0,38,10,26,32,0,14,14,14,213,s:40~l:41~t:213,penn-state-nittany-lions,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Penn State,061440,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,60
401825434,2026,2,2026-01-10,2026-01-11T01:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,67,TRUE,15,5,24,9,43,22,51,0,14,67,18,27,17,8,80,5,22,7,2,0,29,5,17,29,0,6,16,6,120,s:40~l:41~t:120,maryland-terrapins,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,ce1126,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,55
401825424,2026,2,2026-01-06,2026-01-07T02:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,72,FALSE,11,3,26,12,46,28,61,1,21,65,15,23,1,2,1,9,36,3,1,0,6,1,17,35,0,10,9,10,275,s:40~l:41~t:275,wisconsin-badgers,Wisconsin,Badgers,WIS,Wisconsin Badgers,Wisconsin,a00000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,80
401825414,2026,2,2026-01-03,2026-01-03T23:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,61,FALSE,13,0,15,11,45,25,56,0,23,67,8,12,2,2,1,12,34,11,0,0,21,3,14,27,0,12,17,12,2294,s:40~l:41~t:2294,iowa-hawkeyes,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,231f20,fcd116,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,74
401813766,2026,2,2025-12-23,2025-12-23T21:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,97,TRUE,16,2,26,15,50,34,68,0,17,85,22,26,32,0,88,11,42,12,0,0,33,7,21,37,0,10,23,10,27,s:40~l:41~t:27,uc-riverside-highlanders,UC Riverside,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,NA,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,65
401813765,2026,2,2025-12-19,2025-12-20T03:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,108,TRUE,20,0,17,12,57,35,61,0,16,90,26,29,27,6,67,4,42,10,0,0,43,12,28,21,0,8,33,8,13,s:40~l:41~t:13,cal-poly-mustangs,Cal Poly,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,87
401813764,2026,2,2025-12-17,2025-12-18T03:45:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,90,TRUE,19,4,24,18,47,29,62,0,24,82,18,22,16,0,98,11,26,8,0,0,54,14,26,35,0,8,17,8,9,s:40~l:41~t:9,arizona-state-sun-devils,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona St,ffc627,8c1d40,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,77
401813763,2026,2,2025-12-13,2025-12-14T04:45:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,72,FALSE,15,9,23,13,49,25,51,0,22,79,15,19,7,9,32,6,30,5,1,0,47,7,15,29,0,10,7,10,2250,s:40~l:41~t:2250,gonzaga-bulldogs,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,041e42,c8102e,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,82
401825401,2026,2,2025-12-06,2025-12-06T23:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,home,74,TRUE,10,3,21,10,44,24,55,0,17,86,18,21,18,3,92,15,18,8,1,0,44,8,18,36,0,9,14,9,2483,s:40~l:41~t:2483,oregon-ducks,Oregon,Ducks,ORE,Oregon Ducks,Oregon,00934b,fff41b,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,63
401825396,2026,2,2025-12-03,2025-12-04T04:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,82,TRUE,15,5,13,6,53,28,53,0,19,71,17,24,16,5,65,8,36,7,0,0,45,9,20,21,0,7,20,7,264,s:40~l:41~t:264,washington-huskies,Washington,Huskies,WASH,Washington Huskies,Washington,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,80
401813762,2026,2,2025-11-25,2025-11-26T03:00:00Z,26,s:40~l:41~t:26,ucla-bruins,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,away,72,FALSE,17,5,27,7,41,26,64,0,19,57,13,23,8,NA,NA,14,32,2,0,0,32,7,22,41,0,11,11,11,25,s:40~l:41~t:25,california-golden-bears,California,Golden Bears,CAL,California Golden Bears,California,041e42,ffc72c,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,80
